Provinsi,Kabupaten,Kecamatan,Perkiraan Panen Bulan September,Perkiraan Panen Bulan Oktober,Alsintan September,Alsintan Oktober,Bera,Penggenangan,Tanam (1-15 Hst),Vegetatif 1 (16-30 Hst),Vegetatif 2 (31-40 Hst),Max Vegetatif (41-54 Hst),Generatif 1 (55-71 Hst),Generatif 2 (72-110 Hst),Panen,Standing Crop,Luas Baku Sawah (Ha)
Aceh,,,13625.0,49610.0,322.0,694.0,51518,9366,11852.0,18609.0,15550.0,27835.0,30979.0,17712,29726,122537,214837
Aceh,,,13625.0,49610.0,322.0,694.0,51518,9366,11852,18609,15550,27835,30979,17712,29726,122537,214837
Aceh,Aceh Barat,,553.0,2751.0,13.0,35.0,2037,65,119.0,962.0,1277.0,2316.0,1317.0,719,1262,6710,10212
Aceh,Aceh Barat,Arongan Lambalek,29.0,242.0,1.0,3.0,315,3,21.0,127.0,171.0,173.0,137.0,38,194,667,1186
Aceh,Aceh Barat,Bubon,49.0,180.0,1.0,2.0,93,12,11.0,101.0,100.0,171.0,72.0,64,98,519,734
Aceh,Aceh Barat,Johan Pahlawan,14.0,72.0,1.0,1.0,80,3,3.0,36.0,72.0,65.0,32.0,18,25,226,362
Aceh,Aceh Barat,Kaway Xvi,158.0,679.0,2.0,8.0,394,8,6.0,183.0,240.0,634.0,285.0,205,199,1553,2192
Aceh,Aceh Barat,Meureubo,21.0,180.0,1.0,2.0,103,5,5.0,48.0,33.0,204.0,59.0,27,37,376,524
Aceh,Aceh Barat,Pantai Ceuremen,37.0,332.0,1.0,4.0,134,5,5.0,93.0,105.0,237.0,189.0,48,59,677,883
Aceh,Aceh Barat,Panton Reu,6.0,142.0,1.0,2.0,184,6,3.0,87.0,89.0,109.0,78.0,8,42,374,622
Aceh,Aceh Barat,Samatiga,92.0,222.0,1.0,3.0,224,9,26.0,98.0,134.0,147.0,120.0,120,147,645,1032
Aceh,Aceh Barat,Sungai Mas,16.0,50.0,1.0,1.0,51,4,4.0,17.0,21.0,57.0,14.0,21,18,134,215
Aceh,Aceh Barat,Woyla,85.0,280.0,1.0,4.0,204,4,17.0,98.0,140.0,210.0,143.0,110,232,718,1165
Aceh,Aceh Barat,Woyla Barat,20.0,251.0,1.0,3.0,156,3,5.0,44.0,131.0,232.0,114.0,26,118,552,830
Aceh,Aceh Barat,Woyla Timur,26.0,123.0,1.0,2.0,99,3,13.0,30.0,41.0,77.0,74.0,34,93,269,467
Aceh,Aceh Barat Daya,,409.0,2924.0,9.0,36.0,1061,55,365.0,510.0,385.0,2029.0,1683.0,532,1695,5504,8331
Aceh,Aceh Barat Daya,Babah Rot,73.0,243.0,1.0,3.0,188,19,181.0,180.0,165.0,172.0,130.0,95,68,923,1205
Aceh,Aceh Barat Daya,Blang Pidie,33.0,174.0,1.0,2.0,67,3,11.0,5.0,4.0,66.0,130.0,43,343,259,672
Aceh,Aceh Barat Daya,Jeumpa,28.0,437.0,1.0,5.0,111,5,33.0,23.0,19.0,291.0,265.0,37,64,668,848
Aceh,Aceh Barat Daya,Kuala Batee,89.0,552.0,1.0,7.0,219,11,95.0,235.0,85.0,312.0,356.0,116,55,1199,1486
Aceh,Aceh Barat Daya,Lembah Sabil,15.0,267.0,1.0,3.0,37,1,2.0,11.0,30.0,368.0,54.0,20,17,485,541
Aceh,Aceh Barat Daya,Manggeng,55.0,411.0,1.0,5.0,106,5,19.0,26.0,57.0,487.0,122.0,72,59,783,954
Aceh,Aceh Barat Daya,Setia,8.0,57.0,1.0,1.0,125,3,5.0,5.0,3.0,23.0,42.0,11,466,89,684
