Kode Provinsi,Nama Provinsi,Kode Kab,Nama Kabupaten,Luas Panen_Jan-24,Luas Panen_Feb-24,Luas Panen_Mar-24,Luas Panen_Apr-24,Luas Panen_Mei-24,Luas Panen_Jun-24,Luas Panen_Jul-24,Luas Panen_Ags-24,Luas Panen_Sep-24,Luas Panen_Okt-24,Luas Panen_Nov-24,Luas Panen_Des-24,Luas Panen_Jan-Des 2024,Luas Panen_Jan-25,Luas Panen_Feb-25,Luas Panen_Mar-25,Luas Panen_Apr-25,Luas Panen_Mei-25,Luas Panen_Jun-25,Luas Panen_Jul-25,Luas Panen_Ags-25,Luas Panen_Sep-25,Luas Panen_Okt-25,Luas Panen_Nov-25,Produksi Padi_Jan-24,Produksi Padi_Feb-24,Produksi Padi_Mar-24,Produksi Padi_Apr-24,Produksi Padi_Mei-24,Produksi Padi_Jun-24,Produksi Padi_Jul-24,Produksi Padi_Ags-24,Produksi Padi_Sep-24,Produksi Padi_Okt-24,Produksi Padi_Nov-24,Produksi Padi_Des-24,Produksi Padi_Jan-Des 2024,Produksi Padi_Jan-25,Produksi Padi_Feb-25,Produksi Padi_Mar-25,Produksi Padi_Apr-25,Produksi Padi_Mei-25,Produksi Padi_Jun-25,Produksi Padi_Jul-25,Produksi Padi_Ags-25,Produksi Padi_Sep-25,Produksi Padi_Okt-25,Produksi Padi_Nov-25,Produksi Beras_Jan-24,Produksi Beras_Feb-24,Produksi Beras_Mar-24,Produksi Beras_Apr-24,Produksi Beras_Mei-24,Produksi Beras_Jun-24,Produksi Beras_Jul-24,Produksi Beras_Ags-24,Produksi Beras_Sep-24,Produksi Beras_Okt-24,Produksi Beras_Nov-24,Produksi Beras_Des-24,Produksi Beras_Jan-Des 2024,Produksi Beras_Jan-25,Produksi Beras_Feb-25,Produksi Beras_Mar-25,Produksi Beras_Apr-25,Produksi Beras_Mei-25,Produksi Beras_Jun-25,Produksi Beras_Jul-25,Produksi Beras_Ags-25,Produksi Beras_Sep-25,Produksi Beras_Okt-25,Produksi Beras_Nov-25
11,ACEH,1101,ACEH - Simeulue,1.082,2.666,1.288,0,114,69,0,0,66,69,266,1.190,6.809,3.717,813,16,41,152,388,43,41,336,514,1.431,3.574,8.805,4.254,0,273,164,0,0,260,271,1.043,4.661,23.304,12.713,2.803,70,139,473,1.208,133,127,1.323,2.025,5.630,2.059,5.073,2.451,0,157,94,0,0,150,156,601,2.685,13.425,7.324,1.615,40,80,273,696,77,73,762,1.166,3.244
11,ACEH,1102,ACEH - Aceh Singkil,83,0,0,2,41,162,0,0,0,19,112,58,477,1,0,2,2,58,91,0,0,8,47,50,399,0,0,12,129,537,0,0,0,74,434,224,1.809,4,0,8,8,194,311,0,0,32,182,194,230,0,0,7,74,310,0,0,0,43,250,129,1.042,2,0,4,4,112,179,0,0,19,105,112
11,ACEH,1103,ACEH - Aceh Selatan,540,742,1.505,2.018,935,292,97,207,282,10,936,1.097,8.660,712,1.363,1.181,423,1.136,608,668,286,421,438,299,2.336,3.213,6.514,8.738,3.938,1.228,407,871,1.574,55,5.224,6.121,40.221,4.018,7.685,6.661,2.388,6.382,3.417,3.751,1.608,2.130,2.215,1.512,1.346,1.851,3.753,5.034,2.269,707,234,502,907,32,3.009,3.526,23.170,2.315,4.427,3.837,1.376,3.677,1.969,2.161,926,1.227,1.276,871
11,ACEH,1104,ACEH - Aceh Tenggara,105,234,1.026,2.702,757,1.074,0,0,77,2.381,2.512,912,11.781,2,63,1.398,1.829,1.572,336,0,0,933,1.363,1.517,731,1.624,7.108,18.722,4.793,6.799,0,0,438,13.581,14.333,5.206,73.335,8,439,9.745,12.751,9.126,1.950,0,0,5.319,7.767,8.645,421,936,4.095,10.786,2.761,3.917,0,0,252,7.824,8.257,2.999,42.247,5,253,5.614,7.346,5.257,1.123,0,0,3.064,4.474,4.980
11,ACEH,1105,ACEH - Aceh Timur,3.143,2.723,4.518,3.830,1.162,637,151,196,4.592,4.713,1.927,882,28.474,148,1.672,5.433,6.786,2.266,650,107,2.812,2.722,5.147,3.809,15.562,13.483,22.328,18.957,6.042,3.315,787,1.017,24.781,25.434,10.396,4.689,146.792,754,8.478,27.676,34.541,10.189,2.917,479,12.627,14.392,27.017,20.059,8.965,7.767,12.863,10.921,3.481,1.910,453,586,14.276,14.652,5.989,2.701,84.564,435,4.884,15.944,19.899,5.870,1.680,276,7.274,8.291,15.564,11.556
11,ACEH,1106,ACEH - Aceh Tengah,160,172,538,110,174,874,330,142,38,67,242,124,2.973,45,474,96,99,513,854,200,77,50,163,296,878,943,2.944,604,980,4.909,1.852,798,194,342,1.226,631,16.301,249,2.648,537,556,3.246,5.398,1.262,489,234,766,1.390,506,543,1.696,348,564,2.828,1.067,460,112,197,707,363,9.391,144,1.526,310,320,1.870,3.110,727,282,135,441,801
11,ACEH,1107,ACEH - Aceh Barat,0,4.823,2.393,1.429,13,118,106,71,2.134,1.195,103,9,12.394,4,1.779,5.745,1.652,309,0,0,27,3.517,1.755,345,0,26.672,13.235,7.902,70,634,573,380,11.461,6.415,552,49,67.942,19,9.250,30.456,8.771,1.685,0,0,149,18.472,9.216,1.811,0,15.365,7.624,4.552,40,365,330,219,6.602,3.696,318,28,39.140,11,5.329,17.545,5.053,971,0,0,86,10.641,5.309,1.043
11,ACEH,1108,ACEH - Aceh Besar,984,5.908,6.820,5.693,2.113,0,0,360,4.992,6.189,1.350,0,34.411,590,1.444,6.571,7.152,1.868,173,146,688,5.350,4.479,1.611,4.896,29.402,33.936,28.332,9.276,0,0,1.581,28.242,35.013,7.638,3,178.319,3.093,7.572,34.453,37.499,9.882,917,772,3.640,30.155,25.247,9.083,2.821,16.938,19.550,16.321,5.344,0,0,911,16.269,20.171,4.400,2,102.726,1.782,4.362,19.848,21.602,5.693,529,445,2.097,17.372,14.545,5.233
11,ACEH,1109,ACEH - Pidie,0,2.493,10.958,4.934,3.198,606,159,4.931,6.591,2.762,915,709,38.256,1.042,1.589,11.700,7.436,1.616,565,61,6.026,8.014,4.478,953,0,14.607,64.205,28.906,20.270,3.843,1.005,31.252,45.313,18.987,6.289,4.878,239.555,6.634,10.118,74.631,47.416,9.110,3.072,344,33.961,51.169,28.606,6.084,0,8.415,36.987,16.652,11.677,2.214,579,18.004,26.104,10.938,3.623,2.810,138.004,3.822,5.829,42.994,27.316,5.248,1.770,198,19.565,29.478,16.479,3.505
11,ACEH,1110,ACEH - Bireuen,1.574,1.522,2.590,3.482,4.728,2.224,68,0,614,2.943,4.613,2.027,26.386,972,244,2.306,3.771,5.869,2.190,30,905,1.717,2.441,3.314,9.293,8.989,15.289,20.555,26.952,12.678,386,0,3.979,19.057,29.873,13.128,160.179,5.835,1.466,13.841,22.636,32.384,12.084,164,4.993,11.364,16.158,21.934,5.354,5.178,8.808,11.841,15.526,7.304,222,0,2.292,10.979,17.209,7.563,92.276,3.361,845,7.974,13.040,18.656,6.961,95,2.877,6.546,9.308,12.636
11,ACEH,1111,ACEH - Aceh Utara,5.355,11.625,4.628,6.188,4.276,2.384,390,812,9.975,6.489,3.969,5.296,61.388,1.850,3.342,8.336,11.804,7.388,3.120,77,259,2.417,9.936,8.739,28.679,62.255,24.782,33.139,24.468,13.640,2.231,4.647,58.333,37.948,23.210,30.970,344.304,10.655,19.247,48.005,67.977,44.242,18.682,460,1.551,14.195,58.351,51.325,16.522,35.864,14.277,19.091,14.096,7.858,1.285,2.677,33.605,21.861,13.371,17.841,198.348,6.138,11.088,27.655,39.160,25.487,10.762,265,893,8.178,33.615,29.567
11,ACEH,1112,ACEH - Aceh Barat Daya,4.130,825,158,63,10,1.892,1.372,2.617,603,85,49,30,11.834,1.984,2.320,1.497,218,46,1,13,2.175,2.001,1.250,318,19.943,3.982,764,306,60,11.500,8.342,15.905,3.506,496,287,172,65.264,13.094,15.316,9.886,1.430,304,6,88,14.556,12.513,7.816,1.984,11.489,2.294,440,176,35,6.625,4.806,9.163,2.020,286,165,99,37.598,7.543,8.823,5.695,824,175,4,51,8.386,7.208,4.503,1.143
11,ACEH,1113,ACEH - Gayo Lues,543,299,483,35,457,1.411,210,0,44,663,127,189,4.462,1.341,9,425,46,478,147,72,466,838,368,191,2.573,1.418,2.288,166,2.247,6.935,1.032,0,271,4.080,784,1.166,22.961,6.089,40,1.929,211,2.735,839,410,2.665,5.412,2.377,1.235,1.482,817,1.318,95,1.294,3.995,595,0,156,2.351,452,672,13.227,3.508,23,1.111,122,1.576,483,236,1.535,3.118,1.370,712
11,ACEH,1114,ACEH - Aceh Tamiang,409,1.107,2.524,2.726,580,763,118,44,910,2.776,2.046,988,14.991,170,2.108,3.825,1.187,674,366,205,1.023,2.425,2.085,1.111,1.873,5.054,11.552,12.476,2.652,3.490,538,202,4.524,13.723,10.175,4.914,71.172,802,9.887,17.934,5.507,3.689,2.006,1.124,5.568,11.608,10.001,5.334,1.079,2.912,6.655,7.187,1.528,2.010,310,117,2.606,7.906,5.861,2.831,41.001,462,5.696,10.331,3.172,2.125,1.156,648,3.208,6.687,5.761,3.073
11,ACEH,1115,ACEH - Nagan Raya,741,772,2.076,882,451,315,49,469,494,1.503,1.442,43,9.235,183,341,753,209,901,1.817,389,209,477,529,227,2.811,2.931,7.878,3.348,1.769,1.236,191,1.838,1.943,5.914,5.675,167,35.701,719,1.339,2.944,825,4.273,8.745,1.870,1.001,1.888,2.087,895,1.620,1.689,4.539,1.929,1.019,712,110,1.059,1.119,3.407,3.269,96,20.567,414,772,1.696,475,2.462,5.038,1.077,577,1.088,1.202,515
11,ACEH,1116,ACEH - Aceh Jaya,342,735,2.344,1.097,412,59,162,600,1.706,1.210,503,603,9.772,807,1.155,775,831,742,29,121,849,674,536,580,1.826,3.923,12.533,5.867,2.220,317,871,3.229,9.267,6.575,2.734,3.274,52.637,4.662,6.671,4.475,4.803,4.443,174,723,5.082,4.367,3.471,3.758,1.052,2.260,7.220,3.380,1.279,183,502,1.860,5.339,3.788,1.575,1.886,30.323,2.686,3.843,2.578,2.767,2.560,100,416,2.928,2.515,2.000,2.165
11,ACEH,1117,ACEH - Bener Meriah,6,33,22,8,31,86,7,6,49,25,0,16,288,22,15,34,6,18,62,5,14,43,37,24,26,142,96,35,154,435,34,30,252,121,0,84,1.408,90,63,140,24,90,331,25,73,236,205,128,15,82,55,20,89,250,20,17,145,70,0,48,811,52,36,81,14,52,191,14,42,136,118,74
11,ACEH,1118,ACEH - Pidie Jaya,372,1.604,1.905,1.341,2.542,447,0,679,1.958,1.740,2.158,458,15.205,96,0,1.337,3.803,2.235,94,72,887,952,1.894,1.899,2.444,10.527,12.497,8.801,13.997,2.461,0,3.742,15.033,13.358,16.562,3.513,102.934,731,0,10.173,28.932,14.643,618,471,5.808,7.306,14.540,14.577,1.408,6.064,7.200,5.070,8.063,1.417,0,2.155,8.660,7.695,9.541,2.024,59.299,421,0,5.861,16.667,8.436,356,271,3.346,4.209,8.376,8.397
11,ACEH,1171,ACEH - Kota Banda Aceh,0,1,0,6,1,2,0,0,0,2,0,0,13,0,0,0,7,0,0,0,0,0,0,0,0,3,0,31,4,12,0,0,2,12,1,0,65,0,0,0,34,0,0,0,0,0,0,1,0,2,0,18,2,7,0,0,1,7,1,0,38,0,0,0,20,0,0,0,0,0,0,0
11,ACEH,1172,ACEH - Kota Sabang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0
11,ACEH,1173,ACEH - Kota Langsa,0,60,498,363,0,0,0,0,1,164,397,96,1.579,36,262,146,601,61,0,0,0,122,478,221,0,292,2.429,1.771,0,0,0,0,5,864,2.090,505,7.956,176,1.280,714,2.934,360,0,0,0,610,2.391,1.105,0,168,1.399,1.020,0,0,0,0,3,498,1.204,291,4.583,101,738,411,1.690,208,0,0,0,352,1.378,636
11,ACEH,1174,ACEH - Kota Lhokseumawe,19,29,264,279,520,5,0,0,0,292,275,99,1.781,121,144,43,355,349,0,0,0,3,51,257,87,133,1.228,1.295,1.561,15,0,0,0,1.477,1.390,504,7.690,595,706,211,1.739,1.627,0,0,0,16,277,1.382,50,77,708,746,899,9,0,0,0,851,801,290,4.430,343,407,122,1.002,937,0,0,0,9,159,796
11,ACEH,1175,ACEH - Kota Subulussalam,1,0,0,0,1,11,0,0,0,0,2,10,26,22,43,22,0,18,9,0,0,0,2,17,6,0,0,0,7,60,0,0,0,0,8,34,115,119,232,116,0,82,50,0,0,0,10,74,3,0,0,0,4,34,0,0,0,0,5,20,66,69,134,67,0,47,29,0,0,0,6,43
12,SUMATERA UTARA,1201,SUMATERA UTARA - Nias,1.219,589,1.222,464,456,582,1.137,421,729,348,1.032,974,9.174,916,405,688,510,352,1.284,1.104,1.100,591,565,737,5.268,2.546,5.280,2.006,2.052,2.622,5.121,1.895,3.495,1.667,4.950,4.672,41.574,4.223,1.866,3.166,2.321,1.611,5.864,5.043,5.022,2.735,2.592,3.430,3.022,1.461,3.029,1.151,1.177,1.504,2.937,1.087,2.005,956,2.840,2.680,23.848,2.423,1.070,1.816,1.331,924,3.364,2.893,2.881,1.569,1.487,1.967
12,SUMATERA UTARA,1202,SUMATERA UTARA - Mandailing Natal,1.364,2.017,3.804,1.306,914,1.803,1.188,687,2.908,3.062,1.872,1.701,22.626,5.200,12.948,5.563,1.739,2.761,1.783,4.023,879,11.729,5.134,1.687,5.882,8.461,15.428,5.633,3.879,8.152,5.045,3.029,11.511,13.508,8.351,6.683,95.562,19.723,47.022,21.562,7.377,12.270,7.884,18.073,3.873,41.715,19.505,6.837,3.374,4.854,8.850,3.231,2.225,4.676,2.894,1.738,6.603,7.749,4.790,3.834,54.816,11.313,26.972,12.368,4.232,7.038,4.523,10.367,2.221,23.928,11.188,3.922
12,SUMATERA UTARA,1203,SUMATERA UTARA - Tapanuli Selatan,3.186,1.160,1.543,776,1.696,2.910,2.593,439,1.630,1.609,568,1.856,19.966,5.852,4.032,1.556,1.140,1.643,3.769,4.496,2.027,3.016,2.524,1.389,15.961,5.893,7.840,3.946,7.051,14.900,13.277,2.247,8.390,7.355,2.548,8.799,98.208,27.078,18.991,7.247,5.568,8.061,18.798,21.669,9.851,14.519,11.187,6.301,9.156,3.381,4.497,2.263,4.045,8.547,7.616,1.289,4.813,4.219,1.461,5.048,56.334,15.532,10.893,4.157,3.194,4.624,10.783,12.430,5.651,8.328,6.417,3.614
12,SUMATERA UTARA,1204,SUMATERA UTARA - Tapanuli Tengah,205,1.087,1.652,952,1.283,814,222,1.364,895,1.433,1.017,1.213,12.137,517,2.555,2.247,1.302,1.046,2.977,338,2.209,1.959,1.824,1.440,781,4.147,6.300,3.632,4.904,3.111,847,5.212,3.754,5.899,4.266,5.087,47.940,1.868,9.146,8.210,4.816,4.137,11.461,1.213,8.357,7.762,7.242,5.647,448,2.379,3.614,2.083,2.813,1.784,486,2.990,2.153,3.383,2.447,2.918,27.499,1.071,5.246,4.709,2.763,2.373,6.574,696,4.793,4.453,4.154,3.239
12,SUMATERA UTARA,1205,SUMATERA UTARA - Tapanuli Utara,431,1.045,277,282,8.558,9.050,1.576,143,69,108,515,2.133,24.187,902,1.154,164,0,7.396,13.532,2.175,301,94,207,1.163,2.267,5.047,1.459,1.482,44.005,46.945,7.795,811,315,561,2.853,10.529,124.069,4.619,5.389,773,0,37.582,71.132,11.449,1.651,500,1.051,5.576,1.300,2.895,837,850,25.242,26.928,4.471,465,181,322,1.637,6.039,71.168,2.649,3.091,444,0,21.557,40.802,6.567,947,287,603,3.199
12,SUMATERA UTARA,1206,SUMATERA UTARA - Toba Samosir,995,305,466,373,487,3.566,3.927,2.836,1.551,965,85,526,16.081,851,820,754,70,1.058,2.975,3.652,4.792,1.613,1.251,743,5.077,1.557,2.380,1.902,3.018,22.049,24.305,17.569,9.452,5.881,517,3.001,96.708,4.409,4.224,3.920,363,6.661,18.698,23.000,30.246,9.310,7.208,4.218,2.912,893,1.365,1.091,1.731,12.647,13.942,10.078,5.422,3.374,296,1.721,55.473,2.529,2.423,2.249,208,3.821,10.725,13.193,17.350,5.341,4.134,2.419
12,SUMATERA UTARA,1207,SUMATERA UTARA - Labuhan Batu,710,9.401,2.196,0,0,49,11,2.218,169,4,47,129,14.935,1.172,10.772,3.340,1.636,950,494,968,3.986,11,61,195,3.800,50.302,11.752,0,0,230,54,10.449,916,20,254,697,78.474,6.094,56.158,17.408,8.531,4.211,2.187,4.284,17.644,58,266,1.014,2.180,28.854,6.741,0,0,132,31,5.994,526,12,146,400,45.014,3.496,32.213,9.985,4.893,2.415,1.254,2.457,10.121,33,153,582
12,SUMATERA UTARA,1208,SUMATERA UTARA - Asahan,46,311,2.210,2.380,353,35,19,69,1.119,3.339,1.123,340,11.344,92,338,3.525,3.304,771,65,43,93,1.714,3.555,1.498,255,1.654,12.181,13.116,1.812,181,98,345,7.167,21.387,7.190,2.175,67.559,511,1.816,19.913,18.768,4.013,338,223,479,11.131,23.093,9.730,146,949,6.987,7.523,1.039,104,56,198,4.111,12.268,4.124,1.247,38.753,293,1.042,11.423,10.766,2.302,194,128,275,6.385,13.247,5.581
